Key,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
vehicleLawnTractor,Lawn Tractor,Rasentraktor,"Tractor de césped",Tracteur de pelouse,Trattore da giardino,"ローン・トラクター",Traktor ogrodowy,Trator de grama,"Трактор для газонов","Çim Traktörü","草坪拖拉机","草坪拖拉[机機]","Tractor de césped","Трактор за трева","Traktor na trávu","Plænetraktor","Τρακτέρ γκαζόν",Murutraktor,Ruohotraktori,Gyeptraktor,Traktor Rumput,Vejos traktoriukas,"Zāles traktors",Zitmaaier,Tractor de gazon,"Traktor na trávu",Traktor za trate,"Traktor för gräsmatta"
vehicleLawnTractorPlaceable,Lawn Tractor,Rasentraktor,"Tractor de césped",Tracteur de pelouse,Trattore da giardino,"ローン・トラクター",Traktor ogrodowy,Trator de grama,"Трактор для газонов","Çim Traktörü","草坪拖拉机","草坪拖拉[机機]","Tractor de césped","Трактор за трева","Traktor na trávu","Plænetraktor","Τρακτέρ γκαζόν",Murutraktor,Ruohotraktori,Gyeptraktor,Traktor Rumput,Vejos traktoriukas,"Zāles traktors",Zitmaaier,Tractor de gazon,"Traktor na trávu",Traktor za trate,"Traktor för gräsmatta"
vehicleLawnTractorChassis,Lawn Tractor Chassis,Rasentraktor-Fahrgestell,"Chasis de tractor de césped","Châssis de tracteur de pelouse",Telaio per trattorini,"ローン・トラクター用シャーシ",Podwozie do traktora ogrodowego,Chassi de trator de grama,"Шасси трактора для газонов","Çim Traktörü Şasisi","草坪车底盘","草坪車底盤","Chasis de tractor de césped","Шаси на трактор за трева","Podvozek traktoru na trávu","Chassis til plænetraktor","Πλαίσιο τρακτέρ γκαζόν","Murutraktori šassii",Ruohotraktorin alusta,"Gyeptraktor alváz",Sasis Traktor Rumput,"Vejos traktoriaus važiuoklė","Zāles traktora šasija",Chassis tuintrekkers,"Șasiu de tractor de gazon","Podvozky traktorov na trávu","Šasija traktorja za trate","Chassi för gräsklippare"
vehicleLawnTractorChassisDesc,A part used for crafting a Lawn Tractor. Unlocked by [CCFF99]Vehicle Crafting Skill level 15[-].,"Ein Teil, das zum Herstellen eines Rasentraktors verwendet wird. Wird freigeschaltet durch [CCFF99]Fahrzeugbau-Fertigkeit Stufe 15[-].","Pieza utilizada para fabricar un tractor de césped. Desbloqueado por [CCFF99]Habilidad de fabricación de vehículos nivel 15[-].","Pièce utilisée pour fabriquer un Tracteur de pelouse. Déverrouillé par [CCFF99]Niveau de compétence en artisanat de véhicule 15[-].","Parte utilizzata per la costruzione di un trattorino. Si sblocca con [CCFF99]Abilità di costruzione veicoli livello 15[-].","ローントラクターのクラフトに使用するパーツ。CCFF99]乗り物クラフトスキルレベル15[-]でアンロックされる。","Część używana do wytwarzania traktora ogrodowego. Odblokowane przez [CCFF99]Umiejętność tworzenia pojazdów na poziomie 15[-].","Uma peça usada para fabricar um Trator de grama. Desbloqueado por [CCFF99]Vehicle Crafting Skill nível 15[-].","Деталь, используемая для создания трактора для газонов. Разблокируется [CCFF99]Vehicle Crafting Skill 15-го уровня[-].","Çim Traktörü yapımında kullanılan bir parça. CCFF99]Araç Üretim Becerisi seviye 15[-] ile açılır.","用于制造草坪拖拉机的部件。通过[CCFF99]车辆制作技能15级[-]解锁。","用于[制製]造草坪拖拉[机機]的部件。通過[CCFF99]車輛[制製]作技能15級[-]解鎖。","Pieza utilizada para fabricar un tractor de césped. Desbloqueado por [CCFF99]Habilidad de fabricación de vehículos nivel 15[-].","Част, използвана за изработка на трактор за трева. Отключва се с [CCFF99]Умение за изработка на превозни средства, ниво 15[-].","Díl používaný k výrobě traktoru na trávu. Odemkne se po získání dovednosti [CCFF99]Vehicle Crafting skill 15. úrovně[-].","En del, der bruges til at fremstille en plænetraktor. Låses op af [CCFF99]Vehicle Crafting Skill niveau 15[-].","Ένα εξάρτημα που χρησιμοποιείται για την κατασκευή ενός τρακτέρ γκαζόν. Ξεκλειδώνεται με [CCFF99]Vehicle Crafting Skill level 15[-].","Osa, mida kasutatakse murutraktori valmistamiseks. Avatud [CCFF99]Sõiduki valmistamise oskus, tase 15[-].","Osa, jota käytetään ruohotraktorin valmistuksessa. Avautuu [CCFF99]Ajoneuvon käsityötaidon tasolla 15[-].","A gyeptraktor készítéséhez használt alkatrész. Feloldható a [CCFF99]Vehicle Crafting Skill 15-ös szintű[-] járműkészítési készséggel.",Bagian yang digunakan untuk membuat Traktor Rumput. Dibuka dengan [CCFF99] Keterampilan Membuat Kendaraan tingkat 15[-].,"Dalis, naudojama vejos traktoriui gaminti. Atrakinama pasiekus [CCFF99]Transporto priemonių gamybos įgūdžių 15 lygį[-].","Daļa, ko izmanto zāliena traktora izgatavošanai. Atbloķē ar [CCFF99]Transportlīdzekļu izgatavošanas prasmju 15. līmenis[-].",Een onderdeel dat wordt gebruikt voor het craften van een tuintrekker. Vrijgespeeld door [CCFF99]Voertuig Crafting-vaardigheid niveau 15[-].,"O piesă utilizată pentru confecționarea unui tractor de gazon. Deblocat prin [CCFF99]Abilități de meșteșugărit vehicule nivel 15[-].","Diel používaný na výrobu traktora na trávu. Odomkne sa po získaní zručnosti [CCFF99]Vehicle Crafting Skill 15. úrovne[-].","Del, ki se uporablja za izdelavo traktorja za travo. Odklene se s [CCFF99]15. stopnjo spretnosti izdelave vozil[-].","En del som används för att tillverka en gräsmattetraktor. Låses upp av [CCFF99]Färdighetsnivå 15 för fordonstillverkning[-]."
vehicleLawnTractorChassisSchematic,Lawn Tractor Chassis Schematic,Rasentraktor-Fahrgestell-Schaltplan,"Esquema del chasis de un tractor de césped","Schéma du châssis du tracteur de pelouse",Schema del telaio del trattorino,"芝生トラクターのシャーシ概略図",Schemat podwozia traktorka do trawy,Esquema do chassi do trator de grama,"Схема шасси трактора для газонов","Çim Traktörü Şasi Şeması","草坪拖拉机底盘示意图","草坪拖拉[机機]底盤示意圖","Esquema del chasis de un tractor de césped","Схема на шасито на трактор за трева","Schéma podvozku traktoru na trávu","Plænetraktorens chassis skematisk","Σχηματικό πλαίσιο τρακτέρ γκαζόν","Murutraktori šemaatiline šabloon",Ruohotraktorin alustan kaavio,"Gyeptraktor alvázának vázlata",Skema Sasis Traktor Rumput,"Vejos traktoriaus važiuoklės schema","Zāles traktora šasijas shēma",Chassis tuintrekker,"Schema șasiului tractorului de gazon","Schéma podvozku traktora na trávu","Shema šasije traktorja za trate","Schematisk bild för gräsklippartraktorns chassi"
vehicleLawnTractorAccessories,Lawn Tractor Accessories,"Zubehör für Rasentraktoren","Accesorios para tractores de césped",Accessoires pour tracteurs de pelouse,Accessori per trattorini,"ローン・トラクター・アクセサリー","Akcesoria do traktorków ogrodowych","Acessórios para tratores de grama","Аксессуары для газонных тракторов","Çim Traktörü Aksesuarları","草坪车配件","草坪車配件","Accesorios para tractores de césped","Аксесоари за трактори за трева","Příslušenství k traktorům na trávu","Tilbehør til plænetraktorer","Αξεσουάρ τρακτέρ γκαζόν",Murutraktorite tarvikud,"Ruohotraktorin lisävarusteet","Gyeptraktor tartozékok",Aksesori Traktor Rumput,"Vejos traktorių priedai","Zāles traktora piederumi",Tuintrekker Accessoires,Accesorii pentru tractoare de gazon,"Príslušenstvo k traktorom na trávu",Dodatki za traktorje za travo,"Tillbehör till trädgårdstraktorer"
vehicleLawnTractorAccessoriesDesc,A part used for crafting a Lawn Tractor. Unlocked by [CCFF99]Vehicle Crafting Skill level 15[-].,"Ein Teil, das zum Herstellen eines Rasentraktors verwendet wird. Wird freigeschaltet durch [CCFF99]Fahrzeugbau-Fertigkeit Stufe 15[-].","Pieza utilizada para fabricar un tractor de césped. Desbloqueado por [CCFF99]Habilidad de fabricación de vehículos nivel 15[-].","Pièce utilisée pour fabriquer un Tracteur de pelouse. Déverrouillé par [CCFF99]Niveau de compétence en artisanat de véhicule 15[-].","Parte utilizzata per la costruzione di un trattorino. Si sblocca con [CCFF99]Abilità di costruzione veicoli livello 15[-].","ローントラクターのクラフトに使用するパーツ。CCFF99]乗り物クラフトスキルレベル15[-]でアンロックされる。","Część używana do wytwarzania traktora ogrodowego. Odblokowane przez [CCFF99]Umiejętność tworzenia pojazdów na poziomie 15[-].","Uma peça usada para fabricar um Trator de grama. Desbloqueado por [CCFF99]Vehicle Crafting Skill nível 15[-].","Деталь, используемая для создания трактора для газонов. Разблокируется [CCFF99]Vehicle Crafting Skill 15-го уровня[-].","Çim Traktörü yapımında kullanılan bir parça. CCFF99]Araç Üretim Becerisi seviye 15[-] ile açılır.","用于制造草坪拖拉机的部件。通过[CCFF99]车辆制作技能15级[-]解锁。","用于[制製]造草坪拖拉[机機]的部件。通過[CCFF99]車輛[制製]作技能15級[-]解鎖。","Pieza utilizada para fabricar un tractor de césped. Desbloqueado por [CCFF99]Habilidad de fabricación de vehículos nivel 15[-].","Част, използвана за изработка на трактор за трева. Отключва се с [CCFF99]Умение за изработка на превозни средства, ниво 15[-].","Díl používaný k výrobě traktoru na trávu. Odemkne se po získání dovednosti [CCFF99]Vehicle Crafting skill 15. úrovně[-].","En del, der bruges til at fremstille en plænetraktor. Låses op af [CCFF99]Vehicle Crafting Skill niveau 15[-].","Ένα εξάρτημα που χρησιμοποιείται για την κατασκευή ενός τρακτέρ γκαζόν. Ξεκλειδώνεται με [CCFF99]Vehicle Crafting Skill level 15[-].","Osa, mida kasutatakse murutraktori valmistamiseks. Avatud [CCFF99]Sõiduki valmistamise oskus, tase 15[-].","Osa, jota käytetään ruohotraktorin valmistuksessa. Avautuu [CCFF99]Ajoneuvon käsityötaidon tasolla 15[-].","A gyeptraktor készítéséhez használt alkatrész. Feloldható a [CCFF99]Vehicle Crafting Skill 15-ös szintű[-] járműkészítési készséggel.",Bagian yang digunakan untuk membuat Traktor Rumput. Dibuka dengan [CCFF99] Keterampilan Membuat Kendaraan tingkat 15[-].,"Dalis, naudojama vejos traktoriui gaminti. Atrakinama pasiekus [CCFF99]Transporto priemonių gamybos įgūdžių 15 lygį[-].","Daļa, ko izmanto zāliena traktora izgatavošanai. Atbloķē ar [CCFF99]Transportlīdzekļu izgatavošanas prasmju 15. līmenis[-].",Een onderdeel dat wordt gebruikt voor het craften van een tuintrekker. Vrijgespeeld door [CCFF99]Voertuig Crafting-vaardigheid niveau 15[-].,"O piesă utilizată pentru confecționarea unui tractor de gazon. Deblocat prin [CCFF99]Abilități de meșteșugărit vehicule nivel 15[-].","Diel používaný na výrobu traktora na trávu. Odomkne sa po získaní zručnosti [CCFF99]Vehicle Crafting Skill 15. úrovne[-].","Del, ki se uporablja za izdelavo traktorja za travo. Odklene se s [CCFF99]15. stopnjo spretnosti izdelave vozil[-].","En del som används för att tillverka en gräsmattetraktor. Låses upp av [CCFF99]Färdighetsnivå 15 för fordonstillverkning[-]."
vehicleLawnTractorAccessoriesSchematic,Lawn Tractor Accessories Schematic,"Schema für Rasentraktorzubehör","Accesorios para tractores de césped Esquema",Accessoires pour tracteurs de pelouse,Schema degli accessori per trattorini,"芝生トラクター・アクセサリーの回路図","Schemat akcesoriów do traktorków ogrodowych","Esquema de acessórios do trator de grama","Схема дополнительного оборудования для газонных тракторов","Çim Traktörü Aksesuar Şeması","草坪车配件示意图","草坪車配件示意圖","Accesorios para tractores de césped Esquema","Схема на аксесоарите за трактори за трева","Schéma příslušenství k traktorům na trávu","Plænetraktor tilbehør skematisk","Αξεσουάρ τρακτέρ γκαζόν Σχηματική απεικόνιση",Murutraktorite tarvikute skeem,"Ruohotraktorin lisävarusteet Kaavio","Gyeptraktor tartozékok kapcsolási rajz",Skema Aksesori Traktor Rumput,"Vejos traktorių priedų schema","Zāles traktora piederumu shēma",Tuintrekker Accessoires Schema,"Tractor de gazon Accesorii pentru tractoare de gazon Schemă","Schéma príslušenstva traktorov na trávu",Shema dodatkov za traktorje za travo,"Schematiskt schema för tillbehör till gräsklippare"
modVehicleLawnTractorGrassCollector,Grass Collector Mod,Gras-Sammler Mod,Colector de hierba Mod,"Mod. collecteur d'herbe","Mod. Raccoglitore d'erba","グラスコレクター改造",Grass Collector Mod,Mod coletor de grama,"Мод Grass Collector","Çim Toplayıcı Modu","草收集器","草收集器",Colector de hierba Mod,"Колектор за трева Mod","Modul sběrače trávy","Mod til græsopsamler",Grass Collector Mod,Rohukollektori moodul,"Ruohonkerääjä Mod","Fűgyűjtő mod",Mod Pengumpul Rumput,"Žolės surinkėjo modifikacija","Zāles savācējs Mod",Grasopvang Mod,"Mod colector de iarbă","Modul zberača trávy",Zbiralnik trave Mod,"Gräsuppsamlare Mod"
modVehicleLawnTractorGrassCollectorDesc,Install this mod onto the Lawn Tractor to harvest grass and bushes; these will be deposited into the vehicles inventory.,"Installieren Sie diesen Mod auf dem Rasentraktor, um Gras und Büsche zu ernten; diese werden dann im Inventar des Fahrzeugs abgelegt.","Instala este mod en el tractor de césped para cosechar hierba y arbustos; estos se depositarán en el inventario del vehículo.","Installez ce mod sur le tracteur de pelouse pour récolter de l'herbe et des buissons ; ceux-ci seront déposés dans l'inventaire du véhicule.","Installare questa mod sul trattorino per raccogliere erba e cespugli; questi verranno depositati nell'inventario del veicolo.","このMODを芝生トラクターにインストールすると、草や茂みを収穫することができる。","Zainstaluj ten mod na traktorze do trawy, aby zbierać trawę i krzewy; zostaną one umieszczone w ekwipunku pojazdu.","Instale esse mod no Lawn Tractor para colher grama e arbustos; eles serão depositados no inventário do veículo.","Установите этот мод на газонный трактор, чтобы собирать траву и кусты; они будут помещены в инвентарь машины.","Çim ve çalıları toplamak için bu modu Çim Traktörüne yükleyin; bunlar aracın envanterine kaydedilecektir.","在草坪拖拉机上安装该模块，可收割草和灌木；这些草和灌木将存入车辆库存。","在草坪拖拉[机機]上安裝該模塊，可收割草和灌木；這些草和灌木將存入車輛庫存。","Instala este mod en el tractor de césped para cosechar hierba y arbustos; estos se depositarán en el inventario del vehículo.","Инсталирайте тази модификация на трактора за трева, за да събирате трева и храсти; те ще бъдат депозирани в инвентара на превозното средство.","Nainstalujte tento mod do traktoru na trávu, abyste mohli sklízet trávu a keře; ty se uloží do inventáře vozidla.","Installer dette mod på plænetraktoren for at høste græs og buske; disse vil blive deponeret i køretøjets inventar.","Εγκαταστήστε αυτό το mod στο τρακτέρ γκαζόν για να μαζέψετε γρασίδι και θάμνους- αυτά θα κατατεθούν στο απόθεμα του οχήματος.","Paigalda see mod murutraktorile, et korjata rohtu ja põõsaid; need kantakse sõiduki inventari.","Asenna tämä modi nurmikkotraktoriin korjataksesi ruohoa ja pensaita; ne talletetaan ajoneuvon varastoon.","Telepítse ezt a modot a gyeptraktorra, hogy füvet és bokrokat takarítson be; ezek a járművek leltárába kerülnek.",Pasang mod ini ke Traktor Rumput untuk memanen rumput dan semak-semak; ini akan disimpan ke dalam inventaris kendaraan.,"Įdiekite šį modifikavimą į vejos traktoriuką, kad galėtumėte nuimti žolę ir krūmus; jie bus patalpinti į transporto priemonės inventorių.","Uzstādiet šo modifikāciju zāles pļavas traktoram, lai novāktu zāli un krūmus; tie tiks nogādāti transportlīdzekļa inventārā.",Installeer deze mod op de gazontractor om gras en struiken te oogsten; deze zullen in de inventaris van het voertuig worden gedeponeerd.,"Instalați acest mod pe tractorul de gazon pentru a recolta iarbă și tufișuri; acestea vor fi depuse în inventarul vehiculului.","Nainštalujte tento mód do trávnikového traktora, aby ste mohli zbierať trávu a kríky; tie sa uložia do inventára vozidla.","Ta mod namestite na traktor za trato, da poberete travo in grmičevje, ki se bo preneslo v inventar vozila.","Installera denna mod på gräsmattetraktorn för att skörda gräs och buskar; dessa kommer att deponeras i fordonets inventarieförteckning."
